127.0.0.1 - - [03/Jan/2024:21:21:24 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [03/Jan/2024:21:21:25 +0530] "GET /Bookify/Index.jsp HTTP/1.1" 200 21419
0:0:0:0:0:0:0:1 - - [03/Jan/2024:21:21:25 +0530] "GET /Bookify/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2024:21:21:25 +0530] "GET /Bookify/javascript/bootstrap.bundle.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2024:21:21:25 +0530] "GET /Bookify/images/carousel3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2024:21:21:25 +0530] "GET /Bookify/images/carousel4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2024:21:21:25 +0530] "GET /Bookify/images/new%20arrival.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2024:21:21:25 +0530] "GET /Bookify/images/saleing%20book.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2024:21:21:25 +0530] "GET /Bookify/images/carousel2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2024:21:21:25 +0530] "GET /Bookify/javascript/bootstrap.js HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [03/Jan/2024:21:21:25 +0530] "GET /Bookify/images/carousel1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2024:21:21:25 +0530] "GET /Bookify/webfonts/fa-solid-900.woff2 HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [03/Jan/2024:21:21:25 +0530] "GET /Bookify/webfonts/fa-solid-900.ttf HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [03/Jan/2024:21:21:25 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [03/Jan/2024:21:21:39 +0530] "GET /Bookify/admin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Jan/2024:21:21:39 +0530] "GET /Bookify/admin/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Jan/2024:21:21:39 +0530] "GET /Bookify/admin/adminlogin.jsp HTTP/1.1" 200 1979
0:0:0:0:0:0:0:1 - - [03/Jan/2024:21:21:39 +0530] "GET /Bookify/admin/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2024:21:21:39 +0530] "GET /Bookify/admin/javascript/bootstrap.js HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [03/Jan/2024:21:21:39 +0530] "GET /Bookify/admin/javascript/adminlogin.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2024:21:22:23 +0530] "POST /Bookify/admin/adb_login.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Jan/2024:21:22:23 +0530] "GET /Bookify/admin/index.jsp HTTP/1.1" 200 2783
0:0:0:0:0:0:0:1 - - [03/Jan/2024:21:22:23 +0530] "GET /Bookify/admin/javascript/bootstrap.js HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [03/Jan/2024:21:22:23 +0530] "GET /Bookify/images/indexpage.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2024:21:34:16 +0530] "GET /Bookify/admin/index.jsp HTTP/1.1" 200 2800
0:0:0:0:0:0:0:1 - - [03/Jan/2024:21:34:16 +0530] "GET /Bookify/admin/css/bootstrap.min.css HTTP/1.1" 200 219954
0:0:0:0:0:0:0:1 - - [03/Jan/2024:21:34:16 +0530] "GET /Bookify/admin/css/all.min.css HTTP/1.1" 200 133729
0:0:0:0:0:0:0:1 - - [03/Jan/2024:21:34:16 +0530] "GET /Bookify/admin/css/style.css HTTP/1.1" 200 958
0:0:0:0:0:0:0:1 - - [03/Jan/2024:21:34:16 +0530] "GET /Bookify/admin/javascript/bootstrap.bundle.min.js HTTP/1.1" 200 78749
0:0:0:0:0:0:0:1 - - [03/Jan/2024:21:34:16 +0530] "GET /Bookify/admin/javascript/all.min.js HTTP/1.1" 200 1490104
0:0:0:0:0:0:0:1 - - [03/Jan/2024:21:34:16 +0530] "GET /Bookify/images/indexpage.jpg HTTP/1.1" 200 284264
0:0:0:0:0:0:0:1 - - [03/Jan/2024:21:34:16 +0530] "GET /Bookify/admin/javascript/bootstrap.js HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [03/Jan/2024:21:34:17 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [03/Jan/2024:21:34:23 +0530] "GET /Bookify/admin/adminproduct.jsp HTTP/1.1" 200 4443
0:0:0:0:0:0:0:1 - - [03/Jan/2024:21:34:23 +0530] "GET /Bookify/admin/javascript/bootstrap.js HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [03/Jan/2024:22:22:08 +0530] "GET /Bookify/admin/adminaddproduct.jsp HTTP/1.1" 200 7313
0:0:0:0:0:0:0:1 - - [03/Jan/2024:22:22:08 +0530] "GET /Bookify/admin/javascript/addproscript.js HTTP/1.1" 200 1916
0:0:0:0:0:0:0:1 - - [03/Jan/2024:22:22:08 +0530] "GET /Bookify/admin/javascript/bootstrap.js HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [03/Jan/2024:22:23:06 +0530] "GET /Bookify/admin/adminaddproduct.jsp HTTP/1.1" 200 7316
0:0:0:0:0:0:0:1 - - [03/Jan/2024:22:23:06 +0530] "GET /Bookify/admin/css/bootstrap.min.css HTTP/1.1" 200 219954
0:0:0:0:0:0:0:1 - - [03/Jan/2024:22:23:06 +0530] "GET /Bookify/admin/css/style.css HTTP/1.1" 200 958
0:0:0:0:0:0:0:1 - - [03/Jan/2024:22:23:06 +0530] "GET /Bookify/admin/css/all.min.css HTTP/1.1" 200 133729
0:0:0:0:0:0:0:1 - - [03/Jan/2024:22:23:06 +0530] "GET /Bookify/admin/javascript/all.min.js HTTP/1.1" 200 1490104
0:0:0:0:0:0:0:1 - - [03/Jan/2024:22:23:06 +0530] "GET /Bookify/admin/javascript/bootstrap.bundle.min.js HTTP/1.1" 200 78749
0:0:0:0:0:0:0:1 - - [03/Jan/2024:22:23:06 +0530] "GET /Bookify/admin/javascript/addproscript.js HTTP/1.1" 200 1916
0:0:0:0:0:0:0:1 - - [03/Jan/2024:22:23:06 +0530] "GET /Bookify/admin/javascript/bootstrap.js HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [03/Jan/2024:22:23:06 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [03/Jan/2024:22:23:32 +0530] "GET /Bookify/admin/adminaddproduct.jsp HTTP/1.1" 200 7321
0:0:0:0:0:0:0:1 - - [03/Jan/2024:22:23:32 +0530] "GET /Bookify/admin/css/all.min.css HTTP/1.1" 200 133729
0:0:0:0:0:0:0:1 - - [03/Jan/2024:22:23:32 +0530] "GET /Bookify/admin/css/style.css HTTP/1.1" 200 958
0:0:0:0:0:0:0:1 - - [03/Jan/2024:22:23:32 +0530] "GET /Bookify/admin/javascript/addproscript.js HTTP/1.1" 200 1916
0:0:0:0:0:0:0:1 - - [03/Jan/2024:22:23:32 +0530] "GET /Bookify/admin/css/bootstrap.min.css HTTP/1.1" 200 219954
0:0:0:0:0:0:0:1 - - [03/Jan/2024:22:23:32 +0530] "GET /Bookify/admin/javascript/bootstrap.js HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [03/Jan/2024:22:23:32 +0530] "GET /Bookify/admin/javascript/all.min.js HTTP/1.1" 200 1490104
0:0:0:0:0:0:0:1 - - [03/Jan/2024:22:23:32 +0530] "GET /Bookify/admin/javascript/bootstrap.bundle.min.js HTTP/1.1" 200 78749
0:0:0:0:0:0:0:1 - - [03/Jan/2024:22:23:32 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [03/Jan/2024:22:23:32 +0530] "GET /Bookify/admin/adminaddproduct.jsp HTTP/1.1" 200 7321
0:0:0:0:0:0:0:1 - - [03/Jan/2024:22:23:33 +0530] "GET /Bookify/admin/css/bootstrap.min.css HTTP/1.1" 200 219954
0:0:0:0:0:0:0:1 - - [03/Jan/2024:22:23:33 +0530] "GET /Bookify/admin/css/style.css HTTP/1.1" 200 958
0:0:0:0:0:0:0:1 - - [03/Jan/2024:22:23:33 +0530] "GET /Bookify/admin/css/all.min.css HTTP/1.1" 200 133729
0:0:0:0:0:0:0:1 - - [03/Jan/2024:22:23:33 +0530] "GET /Bookify/admin/javascript/all.min.js HTTP/1.1" 200 1490104
0:0:0:0:0:0:0:1 - - [03/Jan/2024:22:23:33 +0530] "GET /Bookify/admin/javascript/addproscript.js HTTP/1.1" 200 1916
0:0:0:0:0:0:0:1 - - [03/Jan/2024:22:23:33 +0530] "GET /Bookify/admin/javascript/bootstrap.bundle.min.js HTTP/1.1" 200 78749
0:0:0:0:0:0:0:1 - - [03/Jan/2024:22:23:33 +0530] "GET /Bookify/admin/javascript/bootstrap.js HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [03/Jan/2024:22:23:33 +0530] "GET /Bookify/admin/adminaddproduct.jsp HTTP/1.1" 200 7321
0:0:0:0:0:0:0:1 - - [03/Jan/2024:22:23:33 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [03/Jan/2024:22:23:33 +0530] "GET /Bookify/admin/css/style.css HTTP/1.1" 200 958
0:0:0:0:0:0:0:1 - - [03/Jan/2024:22:23:33 +0530] "GET /Bookify/admin/css/bootstrap.min.css HTTP/1.1" 200 219954
