127.0.0.1 - - [07/Feb/2024:10:23:01 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [07/Feb/2024:10:23:02 +0530] "GET /Bookify/Index.jsp HTTP/1.1" 200 21599
0:0:0:0:0:0:0:1 - - [07/Feb/2024:10:23:02 +0530] "GET /Bookify/javascript/bootstrap.js HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [07/Feb/2024:10:23:02 +0530] "GET /Bookify/webfonts/fa-solid-900.woff2 HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [07/Feb/2024:10:23:02 +0530] "GET /Bookify/webfonts/fa-solid-900.ttf HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [07/Feb/2024:10:23:02 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [07/Feb/2024:10:23:14 +0530] "POST /Bookify/db_login.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Feb/2024:10:23:14 +0530] "GET /Bookify/Index.jsp HTTP/1.1" 200 22602
0:0:0:0:0:0:0:1 - - [07/Feb/2024:10:23:14 +0530] "GET /Bookify/javascript/bootstrap.js HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [07/Feb/2024:10:23:14 +0530] "GET /Bookify/webfonts/fa-solid-900.woff2 HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [07/Feb/2024:10:23:14 +0530] "GET /Bookify/webfonts/fa-regular-400.woff2 HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [07/Feb/2024:10:23:14 +0530] "GET /Bookify/webfonts/fa-solid-900.ttf HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [07/Feb/2024:10:23:14 +0530] "GET /Bookify/webfonts/fa-regular-400.ttf HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [07/Feb/2024:10:23:16 +0530] "GET /Bookify/cart.jsp HTTP/1.1" 200 23459
0:0:0:0:0:0:0:1 - - [07/Feb/2024:10:23:16 +0530] "GET /Bookify/javascript/bootstrap.js HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [07/Feb/2024:10:23:16 +0530] "GET /Bookify/javascript/cart.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2024:10:23:16 +0530] "GET /Bookify/webfonts/fa-regular-400.woff2 HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [07/Feb/2024:10:23:16 +0530] "GET /Bookify/webfonts/fa-solid-900.woff2 HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [07/Feb/2024:10:23:16 +0530] "GET /Bookify/webfonts/fa-regular-400.ttf HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [07/Feb/2024:10:23:16 +0530] "GET /Bookify/webfonts/fa-solid-900.ttf HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [07/Feb/2024:10:23:22 +0530] "GET /Bookify/order.jsp?tot=822.9 HTTP/1.1" 200 14552
0:0:0:0:0:0:0:1 - - [07/Feb/2024:10:23:22 +0530] "GET /Bookify/javascript/order.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2024:10:23:22 +0530] "GET /Bookify/javascript/bootstrap.js HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [07/Feb/2024:10:23:22 +0530] "GET /Bookify/webfonts/fa-solid-900.woff2 HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [07/Feb/2024:10:23:22 +0530] "GET /Bookify/webfonts/fa-regular-400.woff2 HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [07/Feb/2024:10:23:22 +0530] "GET /Bookify/webfonts/fa-solid-900.ttf HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [07/Feb/2024:10:23:22 +0530] "GET /Bookify/webfonts/fa-regular-400.ttf HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [07/Feb/2024:10:25:26 +0530] "GET /Bookify/order.jsp?tot=822.9 HTTP/1.1" 200 14571
0:0:0:0:0:0:0:1 - - [07/Feb/2024:10:25:26 +0530] "GET /Bookify/css/style.css HTTP/1.1" 200 3943
0:0:0:0:0:0:0:1 - - [07/Feb/2024:10:25:26 +0530] "GET /Bookify/css/bootstrap.min.css HTTP/1.1" 200 219954
0:0:0:0:0:0:0:1 - - [07/Feb/2024:10:25:26 +0530] "GET /Bookify/css/all.min.css HTTP/1.1" 200 133729
0:0:0:0:0:0:0:1 - - [07/Feb/2024:10:25:26 +0530] "GET /Bookify/javascript/all.min.js HTTP/1.1" 200 1490104
